HBSC_id,Short_name,Survey_years_available,Age_groups_available,Measure_type,Measure_description,Chart_title_gender,Significance_text_gender,Notes_2014_gender,Notes_2018_gender,Notes_2022_gender,Chart_title_FAS,Significance_text_FAS,Notes_2014_FAS,Notes_18_FAS,Notes_22_FAS
,,,,,,,,,,,,,,,
sr_health,Self-rated health,"2014
2018
2022","11-year-olds
13-year-olds
15-year-olds",PERCENT,"Young people were asked to describe their health (""Would you say your health is â€¦ ?""). Response options were excellent, good, fair and poor. Findings presented here show the proportions reporting their health as excellent.",who rate their health as excellent,Note: country/region name in bold indicates a significant gender difference (at P < 0.05).,Significance of gender differences is not presented,Significance of gender differences is not presented,No data were received from Malta.,Prevalence by family affluence: excellent health by country/region and gender,Note: bold indicates a significant difference in prevalence by family affluence group (at P < 0.05). Low- and high-affluence groups represent the lowest 20% and highest 20% in each country/region.,No data is presented for Armenia. Statistical significance is not shown.,Statistical significance is not shown.,No data were received from Malta.
,,,,,,,,,,,,,,,
multihealth,Multiple health complaints,"2014
2018
2022","11-year-olds
13-year-olds
15-year-olds",PERCENT,Young people were asked how often they had experienced the following symptoms in the last six months: headache; stomach ache; backache; feeling low; feeling irritable or bad tempered; feeling nervous; difficulties in getting to sleep; and feeling dizzy. Response options for each symptom ranged from about every day to rarely or never. Findings presented here show the proportions with multiple (two or more) health complaints more than once a week in the last six months.,who report multiple health complaints more than once a week,Note: country/region name in bold indicates a significant gender difference (at P < 0.05).,Statistical significance is not shown.,Statistical significance is not shown.,,Prevalence by family affluence: multiple health complaints by country/region and gender,Note: bold indicates a significant difference in prevalence by family affluence group (at P < 0.05). Low- and high-affluence groups represent the lowest 20% and highest 20% in each country/region.,Statistical significance is not shown.,Statistical significance is not shown.,
,,,,,,,,,,,,,,,
d_headache,Individual health complaints: headache,"2014
2018
2022","11-year-olds
13-year-olds
15-year-olds",PERCENT,Young people were asked how often they had experienced a headache in the last six months. Response options ranged from about every day to rarely or never.  Findings presented here show the proportions who reported experiencing a headache more than once a week.,who report experiencing a headache more than once a week,Note: country/region name in bold indicates a significant gender difference (at P < 0.05).,Statistical significance is not shown.,Statistical significance is not shown.,,Prevalence by family affluence: headache more than once a week by country/region and gender,Note: bold indicates a significant difference in prevalence by family affluence group (at P < 0.05). Low- and high-affluence groups represent the lowest 20% and highest 20% in each country/region.,Statistical significance is not shown.,Statistical significance is not shown.,
,,,,,,,,,,,,,,,
d_stomach,Individual health complaints: stomach ache,"2014
2018
2022","11-year-olds
13-year-olds
15-year-olds",PERCENT,Young people were asked how often they had experienced a stomache ache in the last six months. Response options ranged from about every day to rarely or never. Findings presented here show the proportions who reported experiencing stomache ache more than once a week.,who report stomache ache more than once a week,Note: country/region name in bold indicates a significant gender difference (at P < 0.05).,Statistical significance is not shown.,Statistical significance is not shown.,,Prevalence by family affluence: stomach ache more than once a week by country/region and gender,Note: bold indicates a significant difference in prevalence by family affluence group (at P < 0.05). Low- and high-affluence groups represent the lowest 20% and highest 20% in each country/region.,Statistical significance is not shown.,Statistical significance is not shown.,
,,,,,,,,,,,,,,,
d_feellow,Individual health complaints: feeling low,"2014
2018
2022","11-year-olds
13-year-olds
15-year-olds",PERCENT,Young people were asked how often they had experienced feeling low in the last six months. Response options ranged from about every day to rarely or never.  Findings presented here show the proportions who reported feeling low more than once a week.,who report feeling low more than once a week,Note: country/region name in bold indicates a significant gender difference (at P < 0.05).,Statistical significance is not shown.,Statistical significance is not shown.,,Prevalence by family affluence: feeling low more than once a week by country/region and gender,Note: bold indicates a significant difference in prevalence by family affluence group (at P < 0.05). Low- and high-affluence groups represent the lowest 20% and highest 20% in each country/region.,Statistical significance is not shown.,Statistical significance is not shown.,
